Div;Date;HomeTeam;AwayTeam;home_eff;goals;FTR
1;21-08-2015;Málaga;Sevilla;1;0;D
1;22-08-2015;Atlético de Madrid;Las Palmas;1;1;H
1;22-08-2015;Espanyol;Getafe;1;1;H
1;22-08-2015;Deportivo de la Coruña;Real Sociedad;1;0;D
1;22-08-2015;Rayo Vallecano;Valencia;1;0;D
1;23-08-2015;Athletic de Bilbao;Barcelona;1;0;A
1;23-08-2015;Betis;Villarreal;1;1;D
1;23-08-2015;Levante;Celta;1;1;A
1;23-08-2015;Sp Gijón;Real Madrid;1;0;D
1;24-08-2015;Granada;Eibar;1;1;A
1;28-08-2015;Villarreal;Espanyol;1;3;H
1;29-08-2015;Barcelona;Málaga;1;1;H
1;29-08-2015;Celta;Rayo Vallecano;1;3;H
1;29-08-2015;Real Madrid;Betis;1;5;H
1;29-08-2015;Real Sociedad;Sp Gijón;1;0;D
1;30-08-2015;Eibar;Athletic de Bilbao;1;2;H
1;30-08-2015;Getafe;Granada;1;1;A
1;30-08-2015;Las Palmas;Levante;1;0;D
1;30-08-2015;Sevilla;Atlético de Madrid;1;0;A
1;30-08-2015;Valencia;Deportivo de la Coruña;1;1;D
1;11-09-2015;Levante;Sevilla;1;1;D
1;12-09-2015;Atlético de Madrid;Barcelona;1;1;A
1;12-09-2015;Betis;Real Sociedad;1;1;H
1;12-09-2015;Espanyol;Real Madrid;1;0;A
1;12-09-2015;Sp Gijón;Valencia;1;0;A
1;13-09-2015;Athletic de Bilbao;Getafe;1;3;H
1;13-09-2015;Celta;Las Palmas;1;3;D
1;13-09-2015;Granada;Villarreal;1;1;A
1;13-09-2015;Málaga;Eibar;1;0;D
1;14-09-2015;Rayo Vallecano;Deportivo de la Coruña;1;1;A
1;18-09-2015;Getafe;Málaga;1;1;H
1;19-09-2015;Eibar;Atlético de Madrid;1;0;A
1;19-09-2015;Real Madrid;Granada;1;1;H
1;19-09-2015;Real Sociedad;Espanyol;1;2;A
1;19-09-2015;Valencia;Betis;1;0;D
1;20-09-2015;Barcelona;Levante;1;4;H
1;20-09-2015;Deportivo de la Coruña;Sp Gijón;1;2;A
1;20-09-2015;Las Palmas;Rayo Vallecano;1;0;A
1;20-09-2015;Sevilla;Celta;1;1;A
1;20-09-2015;Villarreal;Athletic de Bilbao;1;3;H
1;22-09-2015;Atlético de Madrid;Getafe;1;2;H
1;22-09-2015;Espanyol;Valencia;1;1;H
1;22-09-2015;Granada;Real Sociedad;1;0;A
1;23-09-2015;Athletic de Bilbao;Real Madrid;1;1;A
1;23-09-2015;Celta;Barcelona;1;4;H
1;23-09-2015;Las Palmas;Sevilla;1;2;H
1;23-09-2015;Levante;Eibar;1;2;D
1;23-09-2015;Málaga;Villarreal;1;0;A
1;23-09-2015;Rayo Vallecano;Sp Gijón;1;2;H
1;24-09-2015;Betis;Deportivo de la Coruña;1;1;A
1;25-09-2015;Valencia;Granada;1;1;H
1;26-09-2015;Barcelona;Las Palmas;1;2;H
1;26-09-2015;Eibar;Celta;1;1;D
1;26-09-2015;Real Madrid;Málaga;1;0;D
1;26-09-2015;Sevilla;Rayo Vallecano;1;3;H
1;26-09-2015;Villarreal;Atlético de Madrid;1;1;H
1;27-09-2015;Getafe;Levante;1;3;H
1;27-09-2015;Deportivo de la Coruña;Espanyol;1;3;H
1;27-09-2015;Real Sociedad;Athletic de Bilbao;1;0;D
1;27-09-2015;Sp Gijón;Betis;1;1;A
1;02-10-2015;Celta;Getafe;1;0;D
1;03-10-2015;Espanyol;Sp Gijón;1;1;A
1;03-10-2015;Granada;Deportivo de la Coruña;1;1;D
1;03-10-2015;Las Palmas;Eibar;1;0;A
1;03-10-2015;Málaga;Real Sociedad;1;3;H
1;03-10-2015;Sevilla;Barcelona;1;2;H
1;04-10-2015;Athletic de Bilbao;Valencia;1;3;H
1;04-10-2015;Atlético de Madrid;Real Madrid;1;1;D
1;04-10-2015;Levante;Villarreal;1;1;H
1;04-10-2015;Rayo Vallecano;Betis;1;0;A
1;17-10-2015;Barcelona;Rayo Vallecano;1;5;H
1;17-10-2015;Betis;Espanyol;1;1;A
1;17-10-2015;Eibar;Sevilla;1;1;D
1;17-10-2015;Real Madrid;Levante;1;3;H
1;17-10-2015;Valencia;Málaga;1;3;H
1;18-10-2015;Getafe;Las Palmas;1;4;H
1;18-10-2015;Deportivo de la Coruña;Athletic de Bilbao;1;2;D
1;18-10-2015;Real Sociedad;Atlético de Madrid;1;0;A
1;18-10-2015;Villarreal;Celta;1;1;A
1;19-10-2015;Sp Gijón;Granada;1;3;D
1;23-10-2015;Rayo Vallecano;Espanyol;1;3;H
1;24-10-2015;Celta;Real Madrid;1;1;A
1;24-10-2015;Granada;Betis;1;1;D
1;24-10-2015;Málaga;Deportivo de la Coruña;1;2;H
1;24-10-2015;Sevilla;Getafe;1;5;H
1;25-10-2015;Atlético de Madrid;Valencia;1;2;H
1;25-10-2015;Barcelona;Eibar;1;3;H
1;25-10-2015;Las Palmas;Villarreal;1;0;D
1;25-10-2015;Levante;Real Sociedad;1;0;A
